Nutrients,value,confidence
energy_kj,195.0,99.22063446044922
energy_kcal,46.61,99.22063446044922
calories,0.0,0.0
protein,3.5,99.65653228759766
carbohydrates,4.7,99.94937896728516
sugar,4.7,99.94937896728516
fat,1.5,99.95407104492188
saturated_fat,1.1,99.89871215820312
monounsaturated_fat,0.0,0.0
polyunsaturated_fat,0.0,0.0
cholesterol,0.0,0.0
sodium,0.0,0.0
salt,0.11,99.65227508544922
potassium,0.0,0.0
calcium,0.12,99.92050170898438
magnesium,0.0,0.0
phosphorus,0.0,0.0
fiber,0.0,79.8370132446289
copper,0.0,0.0
zinc,0.0,0.0
selenium,0.0,0.0
iodine,0.0,0.0
vitamin_A,0.0,0.0
vitamin_B,0.0,0.0
vitamin_C,0.0,0.0
vitamin_D,0.0,0.0
vitamin_E,0.0,0.0
vitamin_K,0.0,0.0
vitamin_B6,0.0,0.0
vitamin_B12,0.0,0.0
iron,0.0,0.0
retinol,0.0,0.0
carotene,0.0,0.0
thiamin,0.0,0.0
riboflavin,0.0,0.0
tryptophan,0.0,0.0
niacin,0.0,0.0
total_folate,0.0,0.0
Natural_Folate,0.0,0.0
niacin_equivalent,0.0,0.0
folic_acid,0.0,0.0
dietary_folate_equivalents,0.0,0.0
pantothenate,0.0,0.0
biotin,0.0,0.0
