Nutrients,value,confidence
energy_kj,1108.0,90.81871795654297
energy_kcal,264.0,90.81871795654297
calories,0.0,0.0
protein,0.5,99.96510314941406
carbohydrates,6.0,99.56636047363281
sugar,2.3,99.93475341796875
fat,26.0,99.82337188720703
saturated_fat,2.6,99.81481170654297
monounsaturated_fat,0.0,0.0
polyunsaturated_fat,0.0,0.0
cholesterol,0.0,0.0
sodium,0.0,0.0
salt,1.7,97.25894927978516
potassium,0.0,0.0
calcium,0.0,0.0
magnesium,0.0,0.0
phosphorus,0.0,0.0
fibre,0.0,0.0
copper,0.0,0.0
zinc,0.0,0.0
selenium,0.0,0.0
iodine,0.0,0.0
vitamin_A,0.0,0.0
vitamin_B,0.0,0.0
vitamin_C,0.0,0.0
vitamin_D,0.0,0.0
vitamin_E,0.0,0.0
vitamin_K,0.0,0.0
vitamin_B6,0.0,0.0
vitamin_B12,0.0,0.0
iron,0.0,0.0
retinol,0.0,0.0
carotene,0.0,0.0
thiamin,0.0,0.0
riboflavin,0.0,0.0
tryptophan,0.0,0.0
niacin,0.0,0.0
total_folate,0.0,0.0
Natural_Folate,0.0,0.0
niacin_equivalent,0.0,0.0
folic_acid,0.0,0.0
dietary_folate_equivalents,0.0,0.0
pantothenate,0.0,0.0
biotin,0.0,0.0
