Nutrients,value,confidence
energy_kj,0.0,99.82725524902344
energy_kcal,0.0,99.82725524902344
calories,0.0,0.0
protein,3.3,99.92235565185547
carbohydrates,5.0,99.89353942871094
sugar,4.6,99.844970703125
fat,1.0,99.92556762695312
saturated_fat,0.6,99.9202651977539
monounsaturated_fat,0.0,0.0
polyunsaturated_fat,0.0,0.0
cholesterol,0.0,0.0
sodium,0.0,0.0
salt,0.16,99.92149353027344
potassium,0.0,0.0
calcium,0.16,98.85093688964844
magnesium,0.0,0.0
phosphorus,0.0,0.0
fibre,0.0,0.0
copper,0.0,0.0
zinc,0.0,0.0
selenium,0.0,0.0
iodine,0.0,0.0
vitamin_A,0.0,0.0
vitamin_B,0.0,0.0
vitamin_C,0.0,0.0
vitamin_D,2e-06,94.92076873779297
vitamin_E,0.0018,98.62820434570312
vitamin_K,0.0,0.0
vitamin_B6,0.0,0.0
vitamin_B12,4.0000000000000003e-07,84.62858581542969
iron,0.0,0.0
retinol,0.0,0.0
carotene,0.0,0.0
thiamin,0.0,0.0
riboflavin,0.00023,99.16238403320312
tryptophan,0.0,0.0
niacin,0.0,0.0
total_folate,0.0,0.0
Natural_Folate,0.0,0.0
niacin_equivalent,0.0,0.0
folic_acid,3.6e-05,99.92170715332031
dietary_folate_equivalents,0.0,0.0
pantothenate,0.0,0.0
biotin,0.0,0.0
