Nutrients,value,confidence
energy_kj,1514.61,99.9266357421875
energy_kcal,362.0,99.9266357421875
calories,0.0,0.0
protein,12.0,99.9323501586914
carbohydrates,26.0,99.91243743896484
sugar,4.2,99.93854522705078
fat,2.0,99.9381332397461
saturated_fat,0.6,99.97317504882812
monounsaturated_fat,0.0,0.0
polyunsaturated_fat,0.0,0.0
cholesterol,0.0,0.0
sodium,0.0,0.0
salt,0.28,99.87052154541016
potassium,0.0,0.0
calcium,0.0,0.0
magnesium,0.0,0.0
phosphorus,0.0,0.0
fibre,12.0,99.32199096679688
copper,0.0,0.0
zinc,0.0,0.0
selenium,0.0,0.0
iodine,0.0,0.0
vitamin_A,0.0,0.0
vitamin_B,0.0,0.0
vitamin_C,0.0,0.0
vitamin_D,0.0,0.0
vitamin_E,0.0,0.0
vitamin_K,0.0,0.0
vitamin_B6,0.0,0.0
vitamin_B12,0.0,0.0
iron,100.0,99.660888671875
retinol,0.0,0.0
carotene,0.0,0.0
thiamin,0.00094,99.7564926147461
riboflavin,0.0012,99.21141052246094
tryptophan,0.0,0.0
niacin,0.8,99.9754638671875
total_folate,0.0,0.0
Natural_Folate,0.0,0.0
niacin_equivalent,0.0,0.0
folic_acid,0.6,99.8402328491211
dietary_folate_equivalents,0.0,0.0
pantothenate,0.0,0.0
biotin,0.0,0.0
