Nutrient,Value
energy_kj,390.0
energy_kcal,0.0
calories,0.0
protein,2.9
carbohydrates,10.0
sugar,8.9
fat,4.6
saturated_fat,2.8
monounsaturated_fat,0.0
polyunsaturated_fat,0.0
cholesterol,0.0
sodium,0.0
salt,0.1
potassium,0.0
calcium,0.0
magnesium,0.0
phosphorus,0.0
fiber,0.5
copper,0.0
zinc,0.0
selenium,0.0
iodine,0.0
vitamin_A,0.0
vitamin_B,0.0
vitamin_C,0.0
vitamin_D,0.0
vitamin_E,0.0
vitamin_K,0.0
vitamin_B6,0.0
vitamin_B12,0.0
iron,0.0
retinol,0.0
carotene,0.0
thiamin,0.0
riboflavin,0.0
tryptophan,0.0
niacin,0.0
total_folate,0.0
Natural_Folate,0.0
niacin_equivalent,0.0
folic_acid,0.0
dietary_folate_equivalents,0.0
pantothenate,0.0
biotin,0.0
