,value,confidence
energy_kj,390.0,65.85318756103516
energy_kcal,93.0,65.85318756103516
calories,0.0,0.0
protein,2.9,99.87324523925781
carbohydrates,10.0,99.95853424072266
sugar,8.9,99.87841796875
fat,4.6,99.90636444091797
saturated_fat,2.8,99.89875793457031
monounsaturated_fat,0.0,0.0
polyunsaturated_fat,0.0,0.0
cholesterol,0.0,0.0
sodium,0.0,0.0
salt,0.1,99.94004821777344
potassium,0.0,0.0
calcium,0.0,0.0
magnesium,0.0,0.0
phosphorus,0.0,0.0
fibre,0.5,99.92935943603516
copper,0.0,0.0
zinc,0.0,0.0
selenium,0.0,0.0
iodine,0.0,0.0
vitamin_A,0.0,0.0
vitamin_B,0.0,0.0
vitamin_C,0.0,0.0
vitamin_D,0.0,0.0
vitamin_E,0.0,0.0
vitamin_K,0.0,0.0
vitamin_B6,0.0,0.0
vitamin_B12,0.0,0.0
iron,0.0,0.0
retinol,0.0,0.0
carotene,0.0,0.0
thiamin,0.0,0.0
riboflavin,0.0,0.0
tryptophan,0.0,0.0
niacin,0.0,0.0
total_folate,0.0,0.0
Natural_Folate,0.0,0.0
niacin_equivalent,0.0,0.0
folic_acid,0.0,0.0
dietary_folate_equivalents,0.0,0.0
pantothenate,0.0,0.0
biotin,0.0,0.0
